,DATE,GDP
204,1998-01-01,0.21948620330654836
205,1998-04-01,0.23331106441764743
206,1998-07-01,0.2535888846106172
207,1998-10-01,0.27674581828506034
208,1999-01-01,0.2925090181709956
209,1999-04-01,0.3078485747771623
210,1999-07-01,0.3293342404007206
211,1999-10-01,0.35793558624060856
212,2000-01-01,0.3715985173089507
213,2000-04-01,0.40448558482636837
214,2000-07-01,0.41392078901330476
215,2000-10-01,0.4296689879358084
216,2001-01-01,0.4342880792381699
217,2001-04-01,0.45153503513209553
218,2001-07-01,0.4514037767020693
219,2001-10-01,0.4597674835010363
220,2002-01-01,0.4762464436421349
221,2002-04-01,0.49017055219879435
222,2002-07-01,0.5031062044150526
223,2002-10-01,0.5134720040834401
224,2003-01-01,0.528566187787762
225,2003-04-01,0.5471348357097473
226,2003-07-01,0.5811418858719399
227,2003-10-01,0.6086746809416758
228,2004-01-01,0.6289277227575488
229,2004-04-01,0.6542911374281676
230,2004-07-01,0.6800729718287881
231,2004-10-01,0.7097945681877978
232,2005-01-01,0.7419491333033652
233,2005-04-01,0.762758951949462
234,2005-07-01,0.7922232549981855
235,2005-10-01,0.8165411560924932
236,2006-01-01,0.8533679855683002
237,2006-04-01,0.8740296697005102
238,2006-07-01,0.8896687098266144
239,2006-10-01,0.912353916776004
240,2007-01-01,0.9359390475941143
241,2007-04-01,0.9609090887861748
242,2007-07-01,0.9826115986936231
243,2007-10-01,1.0028282095983054
244,2008-01-01,1.0016870648801182
245,2008-04-01,1.0230049072252854
246,2008-07-01,1.0274647472283602
247,2008-10-01,0.9885171565474153
248,2009-01-01,0.9647691581263337
249,2009-04-01,0.9581170344674741
250,2009-07-01,0.9671773485057944
251,2009-10-01,0.9942818124946895
252,2010-01-01,1.0094650644193865
253,2010-04-01,1.0383396420932065
254,2010-07-01,1.059958977015914
255,2010-10-01,1.0824426085191918
256,2011-01-01,1.0880644874395191
257,2011-04-01,1.1156677334625138
258,2011-07-01,1.1277409642186302
259,2011-10-01,1.1538023255003373
260,2012-01-01,1.1841452564071957
261,2012-04-01,1.2026701068734482
262,2012-07-01,1.217728127540926
263,2012-10-01,1.2312394417288706
264,2013-01-01,1.2617463117360879
265,2013-04-01,1.2725279863281813
266,2013-07-01,1.3026840748780124
267,2013-10-01,1.3345853647984984
268,2014-01-01,1.3353513514937232
269,2014-04-01,1.3783143786360827
270,2014-07-01,1.416582907847402
271,2014-10-01,1.4310281659461352
272,2015-01-01,1.4513129508721265
